rank_2014,rank_2013,score_2015,name
  701+,-,-,UNIVERSITY OF MACAU
  701+,-,-,UNIVERSITY OF NAIROBI
  701+,    701+,-,UNIVERSITY OF NEW ENGLAND
  701+,  651-700,-,UNIVERSITY OF PLYMOUTH
  701+,    701+,-,UNIVERSITY OF PUNE
  701+,  651-700,-,UNIVERSITY OF SALFORD
  701+,    701+,-,UNIVERSITY OF SAN DIEGO
  701+,    701+,-,UNIVERSITY OF SAN FRANCISCO
  701+,    701+,-,UNIVERSITY OF SANTO TOMAS
  701+,  651-700,-,UNIVERSITY OF SCIENCE AND TECHNOLOGY BEIJING
  701+,    701+,-,UNIVERSITY OF SOUTHERN QUEENSLAND
  701+,    701+,-,UNIVERSITY OF THE PACIFIC
  701+,    701+,-,UNIVERSITY OF TULSA
  701+,    701+,-,UNIVERSITY OF WINDSOR
  701+,    701+,-,UNIVERSITY OF WROCLAW
  701+,    701+,-,VERONA UNIVERSITY
  701+,    701+,-,VICTORIA UNIVERSITY
  701+,    701+,-,VILNIUS GEDIMINAS TECHNICAL UNIVERSITY
  701+,    701+,-,VORONEZH STATE UNIVERSITY
  701+,    701+,-,VYTAUTAS MAGNUS UNIVERSITY
  701+,    701+,-,WEST UNIVERSITY OF TIMISOARA
  701+,  651-700,-,YAMAGUCHI UNIVERSITY
